budget,language,popularity,date,revenue,title,rating,vote_count,Drama,Action,Adventure,Comedy,Horror,Science Fiction,History,Others
3000000,en,11.794846,2/17/1958,17570324,Cat on a Hot Tin Roof,7.6,168,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6000000,en,2.747118,3/18/1958,36800000,South Pacific,6.3,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
829000,en,9.665347,4/23/1958,2247465,Touch of Evil,7.6,292,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2479000,en,18.20822,5/9/1958,28000000,Vertigo,8,1162,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
88000,en,3.559789,5/19/1958,480000,Attack of the 50 Foot Woman,4.8,30,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
700000,en,8.407369,7/16/1958,3000000,The Fly,6.9,129,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
6000000,en,14.276169,1/28/1959,51000000,Sleeping Beauty,6.8,1332,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2883848,en,11.845107,3/18/1959,25000000,Some Like It Hot,8,835,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3500000,en,3.473993,6/18/1959,12800000,The Nun's Story,7.4,46,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4000000,en,12.410427,7/7/1959,13275000,North by Northwest,7.8,1062,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15000000,en,14.319743,12/26/1959,146900000,Ben-Hur,7.5,660,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
4000000,en,7.819581,3/27/1960,21750000,Exodus,6.9,39,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
150000,en,7.229587,4/6/1960,83957,Peeping Tom,7.6,148,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
151000,el,1.879162,5/24/1960,8000000,Never on Sunday,6,14,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3000000,en,11.994281,6/15/1960,25000000,The Apartment,8.1,498,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
806948,en,36.826309,6/16/1960,32000000,Psycho,8.3,2405,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
3000000,en,6.409512,6/19/1960,10400000,Elmer Gantry,7.3,41,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
270000,en,3.481988,6/21/1960,1450000,House of Usher,6.5,71,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
900000,en,2.738268,7/20/1960,10000000,The Bellboy,6.1,22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
12000000,en,11.110376,10/6/1960,60000000,Spartacus,7.3,472,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2000000,en,10.650752,10/22/1960,4905000,The Magnificent Seven,7.4,472,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
12000000,en,4.73816,10/23/1960,7900000,The Alamo,6.5,63,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
3000000,en,2.395067,12/18/1960,7100000,Cinderfella,6.7,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4000000,en,5.317544,1/1/1961,8200000,The Misfits,6.8,76,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4000000,en,15.727519,1/25/1961,215880014,One Hundred and One Dalmatians,6.8,1643,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
6000000,en,6.945886,3/30/1961,4300000,One-Eyed Jacks,6.2,45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6000000,en,8.522673,4/27/1961,28900000,The Guns of Navarone,7.3,191,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1580000,en,3.013584,7/12/1961,7000000,Voyage to the Bottom of the Sea,5.4,35,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
200000,en,4.392322,8/12/1961,2000000,The Pit and the Pendulum,6.9,67,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
160000,fr,4.431293,9/6/1961,100655,A Woman Is a Woman,7.5,63,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2000000,en,9.333533,9/25/1961,7600000,The Hustler,7.6,243,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2500000,en,10.879289,10/5/1961,9500000,Breakfast at Tiffany's,7.6,1082,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
5037000,en,3.657476,10/11/1961,14483352,King of Kings,7.2,31,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6000000,en,8.389903,10/18/1961,43656822,West Side Story,7,399,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3000000,en,9.697105,12/1/1961,10000000,Judgment at Nuremberg,7.6,161,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
3000000,en,3.044499,12/15/1961,4000000,"One, Two, Three",7.6,66,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2900000,en,2.649605,12/18/1961,5000000,Pocketful of Miracles,7.3,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3200000,en,6.641827,4/22/1962,8000000,The Man Who Shot Liberty Valance,7.4,272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
500000,en,4.368765,5/22/1962,2500000,The Miracle Worker,7.5,65,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15000,en,1.274228,6/8/1962,3274,Eegah,2.8,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2000000,en,9.551293,6/13/1962,9250000,Lolita,7.3,409,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2650000,en,4.471515,7/3/1962,3100000,Birdman of Alcatraz,7,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64000,fr,11.30591,9/20/1962,24517,Vivre Sa Vie,7.6,105,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10000000,en,10.770928,9/25/1962,50100000,The Longest Day,7.3,237,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
950000,en,19.931606,10/4/1962,59600000,Dr. No,6.9,953,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
80000000,en,7.991677,10/24/1962,96105910,The Manchurian Candidate,7.7,188,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15000000,en,7.281721,11/1/1962,50000000,How the West Was Won,6.6,83,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
